SAMPLE_ID	mutations	structural_variants
aml_ohsu_2018_15-00171	WXS	WXS
aml_ohsu_2018_15-00175	WXS	WXS
aml_ohsu_2018_15-00180	WXS	WXS
aml_ohsu_2018_15-00194	WXS	WXS
aml_ohsu_2018_15-00196	WXS	WXS
aml_ohsu_2018_15-00200	WXS	WXS
aml_ohsu_2018_15-00208	WXS	WXS
aml_ohsu_2018_15-00231	WXS	WXS
aml_ohsu_2018_15-00237	WXS	WXS
aml_ohsu_2018_15-00246	WXS	WXS
aml_ohsu_2018_15-00248	WXS	WXS
aml_ohsu_2018_15-00261	WXS	WXS
aml_ohsu_2018_15-00269	WXS	WXS
aml_ohsu_2018_15-00275	WXS	WXS
aml_ohsu_2018_15-00276	WXS	WXS
aml_ohsu_2018_15-00279	WXS	WXS
aml_ohsu_2018_15-00281	WXS	WXS
aml_ohsu_2018_15-00287	WXS	WXS
aml_ohsu_2018_15-00294	WXS	WXS
aml_ohsu_2018_15-00296	WXS	WXS
aml_ohsu_2018_15-00300	WXS	WXS
aml_ohsu_2018_15-00302	WXS	WXS
aml_ohsu_2018_15-00303	WXS	WXS
aml_ohsu_2018_15-00309	WXS	WXS
aml_ohsu_2018_15-00312	WXS	WXS
aml_ohsu_2018_15-00320	WXS	WXS
aml_ohsu_2018_15-00331	WXS	WXS
aml_ohsu_2018_15-00338	WXS	WXS
aml_ohsu_2018_15-00351	WXS	WXS
aml_ohsu_2018_15-00353	WXS	WXS
aml_ohsu_2018_15-00357	WXS	WXS
aml_ohsu_2018_15-00358	WXS	WXS
aml_ohsu_2018_15-00361	WXS	WXS
aml_ohsu_2018_15-00371	WXS	WXS
aml_ohsu_2018_15-00377	WXS	WXS
aml_ohsu_2018_15-00383	WXS	WXS
aml_ohsu_2018_15-00392	WXS	WXS
aml_ohsu_2018_15-00395	WXS	WXS
aml_ohsu_2018_15-00396	WXS	WXS
aml_ohsu_2018_15-00407	WXS	WXS
aml_ohsu_2018_15-00416	WXS	WXS
aml_ohsu_2018_15-00417	WXS	WXS
aml_ohsu_2018_15-00464	WXS	WXS
aml_ohsu_2018_15-00470	WXS	WXS
aml_ohsu_2018_15-00471	WXS	WXS
aml_ohsu_2018_15-00479	WXS	WXS
aml_ohsu_2018_15-00482	WXS	WXS
aml_ohsu_2018_15-00491	WXS	WXS
aml_ohsu_2018_15-00492	WXS	WXS
aml_ohsu_2018_15-00514	WXS	WXS
aml_ohsu_2018_15-00525	WXS	WXS
aml_ohsu_2018_15-00534	WXS	WXS
aml_ohsu_2018_15-00539	WXS	WXS
aml_ohsu_2018_15-00556	WXS	WXS
aml_ohsu_2018_15-00559	WXS	WXS
aml_ohsu_2018_15-00563	WXS	WXS
aml_ohsu_2018_15-00571	WXS	WXS
aml_ohsu_2018_15-00572	WXS	WXS
aml_ohsu_2018_15-00578	WXS	WXS
aml_ohsu_2018_15-00581	WXS	WXS
aml_ohsu_2018_15-00593	WXS	WXS
aml_ohsu_2018_15-00595	WXS	WXS
aml_ohsu_2018_15-00608	WXS	WXS
aml_ohsu_2018_15-00610	WXS	WXS
aml_ohsu_2018_15-00614	WXS	WXS
